"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"01120de0-a8d3-46ad-bb41-0df2e82b1a22","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.873320000000035","51.78734","Volkmarskeller","Volkmarskeller ~ this will come later: make a get request",,"87","087",,,,,,,,,,,,,,
"af11c56a-a900-481b-acdc-49f1162161c4","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.850469999999973","51.75973","Schornsteinberg","Schornsteinberg ~ this will come later: make a get request",,"89","089",,,,,,,,,,,,,,
"0a5b13dc-04df-4870-aad1-d13fa2b16171","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.503640000000019","51.79024","Wolfswarte (NPH)","Wolfswarte (NPH) ~ this will come later: make a get request",,"135","135",,,,,,,,,,,,,,
"e27cae6c-81c7-4672-9f37-19d08be96ddd","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.472049999999967","51.6884","Goedeckenplatz","Goedeckenplatz ~ this will come later: make a get request",,"153","153",,,,,,,,,,,,,,
"a6243577-2838-45e3-80ad-619f72e62229","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.602769999999964","51.83017","Scharfenstein - Rangerstation","Scharfenstein - Rangerstation ~ this will come later: make a get request",,"2","002",,,,,,,,,,,,,,
"95d9e3b7-f687-4df9-b231-58b5debdab89","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.611800000000017","51.84437","Am Kruzifix","Am Kruzifix ~ this will come later: make a get request",,"3","003",,,,,,,,,,,,,,
"da3af2e1-587c-4c82-8dad-17b4587451f5","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.632450000000063","51.75183","Grenzweg am Kaffeehorst","Grenzweg am Kaffeehorst ~ this will come later: make a get request",,"18","018",,,,,,,,,,,,,,
"96eba5f1-c6d5-48cc-b824-7e220e18b923","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.69378000000006","51.78152","Leistenklippe","Leistenklippe ~ this will come later: make a get request",,"15","015",,,,,,,,,,,,,,
"2753b50b-0c98-476d-9259-b48ec78c6f11","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.947769999999991","51.49778","Reesbergdoline","Reesbergdoline ~ this will come later: make a get request",,"214","214",,,,,,,,,,,,,,
"bb4ae54d-4eb1-41d3-bc0d-b15b904b437f","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.652100000000019","51.8235","Ferdinandsstein","Ferdinandsstein ~ this will come later: make a get request",,"16","016",,,,,,,,,,,,,,
